"";"scenario";"ID";"station";"deficit30";"duration30";"count30";"intensity30"
"226";"rcp8p5";5;10002;5,73667325331778;38;1;0,147725491501745
"227";"historical";6;10002;0,0281920222743579;0;0;0,0302057381510977
"228";"rcp8p5";6;10002;0,0915524147698153;2;0;0,0422549606629917
"229";"historical";7;10002;0,0282023396063417;0;0;0,0650823221684809
"230";"rcp8p5";7;10002;1,46347871111623;10;0;0,133447906788714
"231";"historical";8;10002;0,0792308698662359;0;0;0,0950770438394831
"232";"rcp8p5";8;10002;0,270595468377577;3;0;0,0699815866493733
"233";"historical";9;10002;0,159853090428475;2;0;0,0622804248422631
"234";"rcp8p5";9;10002;0,360391494646958;6;0;0,0597333969028108
"235";"rcp8p5";10;10002;0,328001091674896;4;0;0,0806560061495647
"236";"historical";16;10002;2,82623593967958;20;4;0,138089703893139
"237";"rcp8p5";16;10002;2,96200222539663;20;4;0,145196187519443
"238";"historical";17;10002;3,54639347626082;24;4;0,146142588307451
"239";"rcp8p5";17;10002;7,97983212922509;44;7;0,180267292075868
"240";"historical";18;10002;3,75036985980503;27;4;0,135067341889737
"241";"rcp8p5";18;10002;6,72520491794408;38;5;0,17273642768692
"242";"historical";19;10002;4,57271814762833;29;5;0,152763412504287
"243";"rcp8p5";19;10002;4,98772855169812;32;4;0,153311328433344
"244";"historical";20;10002;2,06557246974807;19;5;0,105746030874474
"245";"rcp8p5";20;10002;5,26942105299905;37;6;0,139896134150417
"246";"historical";16;10003;6,7696286578485;23;5;0,290542002482768
"247";"rcp8p5";16;10003;6,16541198887168;24;6;0,253720657978258
"248";"historical";17;10003;13,0152276438399;34;6;0,377983377846269
"249";"rcp8p5";17;10003;22,2265109456593;57;8;0,388123008364248
"250";"historical";18;10003;6,91598546713234;26;6;0,260325676303601
"251";"rcp8p5";18;10003;12,8275111347542;45;10;0,282751898635286
"252";"historical";19;10003;8,03078019312733;25;5;0,312076950510129
"253";"rcp8p5";19;10003;10,9317487978166;36;7;0,300598042103116
"254";"historical";20;10003;5,96394601767758;23;6;0,255233067803606
"255";"rcp8p5";20;10003;12,2055640740443;45;8;0,267080176674929
"256";"historical";1;11001;0,134778898304411;0;0;0,149754331449345
"257";"rcp8p5";1;11001;0,231554317262594;0;0;0,239538948892338
"258";"historical";2;11001;0,123352052233459;1;0;0,112138229303145
"259";"rcp8p5";2;11001;2,92901266802987;9;0;0,325445852003319
"260";"historical";3;11001;0,28297755442152;0;0;0,339573065305824
"261";"rcp8p5";3;11001;0,181661669829536;1;0;0,121107779886358
"262";"historical";4;11001;0,356756402667508;1;0;0,205821001538947
"263";"rcp8p5";4;11001;0,0438473053847941;0;0;0,0939585115388445
"264";"historical";5;11001;0,0480277790716159;0;0;0,0800462984526932
"265";"rcp8p5";5;11001;3,4164266514287;9;0;0,359623858045126
"266";"rcp8p5";7;11001;0,0483934235655849;0;0;0,0854001592333851
"267";"historical";16;11001;27,3562846971701;36;6;0,755698472297517
"268";"rcp8p5";16;11001;20,8681051348366;28;6;0,742637193410557
"269";"historical";17;11001;40,5667075349364;43;7;0,933999406023095
"270";"rcp8p5";17;11001;64,5713681986082;62;8;1,02657183145641
"271";"historical";18;11001;31,6985252215665;45;8;0,704411671590367
"272";"rcp8p5";18;11001;42,2121601525297;51;8;0,813859128904814
"273";"historical";19;11001;36,2511577564671;43;7;0,835280132637491
"274";"rcp8p5";19;11001;32,6957363539314;39;6;0,831952578980443
"275";"historical";20;11001;25,5909042163675;35;6;0,720194302524413
"276";"rcp8p5";20;11001;41,2567611542799;50;7;0,819128282348377
"277";"historical";1;11002;0,0863424145555662;0;0;0,117739656212136
"278";"rcp8p5";1;11002;0,103562206199672;0;0;0,135081138521311
"279";"historical";2;11002;0,113680576349035;0;0;0,179495646866898
"280";"rcp8p5";2;11002;2,14340789705701;7;0;0,289649715818515
"281";"historical";3;11002;0,145085836807298;0;0;0,181357296009122
"282";"rcp8p5";3;11002;0,0410981608079088;0;0;0,0684969346798481
"283";"historical";4;11002;0,239330711272152;1;0;0,166974914841037
"284";"rcp8p5";4;11002;0,00399111028655854;0;0;0,0299333271491891
"285";"historical";5;11002;0,00020088685075305;0;0;0,00602660552259149
"286";"rcp8p5";5;11002;2,25161506298463;6;0;0,329504643363605
"287";"historical";16;11002;25,4716528663638;41;8;0,615257315612651
"288";"rcp8p5";16;11002;16,1857052675659;29;7;0,545585570816827
"289";"historical";17;11002;38,004462335475;47;8;0,796739252316037
"290";"rcp8p5";17;11002;56,1435257418755;66;9;0,843418013147855
"291";"historical";18;11002;28,3193437790469;47;9;0,600834733643144
"292";"rcp8p5";18;11002;37,7838220291375;58;11;0,641854281355676
"293";"historical";19;11002;29,3850430406994;45;8;0,64393812360919
"294";"rcp8p5";19;11002;26,931381817623;42;8;0,628259295901004
"295";"historical";20;11002;22,2205987595199;39;9;0,564452127676204
"296";"rcp8p5";20;11002;33,0026359878237;54;9;0,604443882560873
"297";"historical";16;12001;67,3099294467573;43;8;1,55569944792197
"298";"rcp8p5";16;12001;44,0860752704798;30;7;1,4375894109939
"299";"historical";17;12001;101,237858058397;49;8;2,05211874442698
"300";"rcp8p5";17;12001;146,244667700859;69;9;2,09719886760314
"301";"historical";18;12001;77,4190762733164;49;9;1,56086847325235
"302";"rcp8p5";18;12001;101,736088638713;62;11;1,63650544727152
"303";"historical";19;12001;72,5397113442584;44;8;1,62402338830429
"304";"rcp8p5";19;12001;65,5310356970879;43;7;1,51575256045693
"305";"historical";20;12001;58,2698499004325;41;9;1,4120319038877
"306";"rcp8p5";20;12001;84,9893631511386;54;9;1,54901633932816
"307";"historical";16;12002;73,2263019724158;41;8;1,75322351091179
"308";"rcp8p5";16;12002;49,0591089478274;30;7;1,62447380621945
"309";"historical";17;12002;113,809917157368;47;8;2,39096464616319
"310";"rcp8p5";17;12002;167,523529750718;68;9;2,45276031845854
"311";"historical";18;12002;85,7387833884892;47;9;1,8101080236838
"312";"rcp8p5";18;12002;114,718057660448;60;11;1,89199655294856
"313";"historical";19;12002;82,8238967146851;44;7;1,86260637289397
"314";"rcp8p5";19;12002;76,1496263081567;42;7;1,78197253451225
"315";"historical";20;12002;66,3542240546705;40;8;1,65197238310383
"316";"rcp8p5";20;12002;98,5897578101141;55;8;1,78928780054653
"317";"historical";16;12003;39,6854839886676;43;9;0,912309976750979
"318";"rcp8p5";16;12003;25,993327113808;31;8;0,826935114967379
