"";"station";"variable";"p5";"p25";"p50";"p75";"p95"
"333";33029;"deficit30";-50,5026820066794;-28,2963053627596;-24,9587158636648;69,6467097854335;240,604776746074
"334";33029;"duration30";-11,6;-6;-3;11;37,4
"335";33029;"count30";-2,4;0;0;3;5,4
"336";33029;"intensity30";-14,7929166603313;-13,3775413040415;-5,92079237042011;16,0408721208913;20,2613708752104
"337";33034;"deficit30";-35,7566215904481;-17,769073519566;-15,0873495457068;54,3854967536751;177,845406180996
"338";33034;"duration30";-16,4;-10;-5;21;54,6
"339";33034;"count30";-2,6;-1;0;4;5,6
"340";33034;"intensity30";-4,61914109663472;-2,60019506713431;-1,34593823790963;6,68376972424446;14,4222801054229
"341";33039;"deficit30";-14,4342726442426;-8,02604811919261;3,95898663138505;53,4986491599752;94,0910203525734
"342";33039;"duration30";-9,2;-6;-1;16;32
"343";33039;"count30";-2;-2;-1;1;1
"344";33039;"intensity30";1,08327786443611;6,54896830524656;8,83973366605699;18,2269175348187;22,251789156409
"345";33044;"deficit30";-37,0517884977189;-12,1276050936786;-11,1146376456279;69,8912928021238;213,204040376021
"346";33044;"duration30";-17,8;-5;-2;24;53,6
"347";33044;"count30";-3,2;0;0;4;6,4
"348";33044;"intensity30";-7,80126707879298;-1,92158142280985;0,108810683176059;15,676962099487;35,5402593121995
"349";34006;"deficit30";10,9050026315894;26,1437558656522;111,81209123073;166,686206487589;460,372090649706
"350";34006;"duration30";0,45;1,75;6;21,75;40,1
"351";34006;"count30";-0,55;0;0;2;2,55
"352";34006;"intensity30";-6,33374757250363;9,18826905630937;19,6192685284294;32,0005524275269;46,2225966140446
"353";34011;"deficit30";-42,1573974794456;-27,9787950997304;-14,7566642855512;62,4699860778522;230,040312256913
"354";34011;"duration30";-12,2;-5;-3;15;42,2
"355";34011;"count30";-2,4;0;0;4;6,4
"356";34011;"intensity30";-13,8529852663694;-9,2340396394169;-7,76786248249895;10,9277835979819;42,9740527773761
"357";34018;"deficit30";10,5917105548752;50,1092135819821;136,899430668743;1095,30808925016;Inf
"358";34018;"duration30";0,5;2,5;4;11;53,5
"359";34018;"count30";0;0;0;1;1,5
"360";34018;"intensity30";-8,12788188398816;6,04565690219666;24,8680934163757;121,619391135695;Inf
"361";36005;"deficit30";-49,5163630596221;-17,8079009168013;-15,8447669332926;57,1394941522872;235,9744370478
"362";36005;"duration30";-16,6;-7;-3;18;50,8
"363";36005;"count30";-4,4;-2;1;4;8
"364";36005;"intensity30";-14,0491230628792;-10,99590579104;-3,35347755690296;12,4500132161012;23,1267585915933
